,experiment,iteration,time_seconds
0,usernetes,10,457.421
1,usernetes,5,457.476
2,usernetes,2,451.473
3,usernetes,11,427.422
4,usernetes,9,456.473
5,usernetes,4,456.501
6,usernetes,8,457.419
7,usernetes,1,431.462
8,usernetes,3,456.469
9,usernetes,6,461.508
10,usernetes,7,457.495
11,bare-metal,7,66.94
12,bare-metal,3,66.922
13,bare-metal,18,67.918
14,bare-metal,9,67.904
15,bare-metal,14,66.936
16,bare-metal,10,67.902
17,bare-metal,15,66.905
18,bare-metal,5,66.92699999999999
19,bare-metal,4,66.922
20,bare-metal,22,66.924
21,bare-metal,12,67.913
22,bare-metal,17,66.9
23,bare-metal,19,67.925
24,bare-metal,16,66.913
25,bare-metal,13,67.896
26,bare-metal,8,66.94
27,bare-metal,11,67.897
28,bare-metal,1,66.938
29,bare-metal,6,66.917
30,bare-metal,2,67.919
31,bare-metal,20,67.931
